year,province,gdp,growth_rate
2021,广东,12000000000000,
2022,广东,12800000000000,6.67
2023,广东,13500000000000,5.47
2024,广东,14200000000000,5.19
2025,广东,14900000000000,4.93
2021,江苏,11500000000000,
2022,江苏,12100000000000,5.22
2023,江苏,12800000000000,5.79
2024,江苏,13400000000000,4.69
2025,江苏,14100000000000,5.22
2021,山东,8500000000000,
2022,山东,8900000000000,4.71
2023,山东,9300000000000,4.49
2024,山东,9700000000000,4.3
2025,山东,10100000000000,4.12
2021,浙江,7500000000000,
2022,浙江,8000000000000,6.67
2023,浙江,8500000000000,6.25
2024,浙江,9000000000000,5.88
2025,浙江,9500000000000,5.56
2021,贵州,1900000000000,
2022,贵州,2100000000000,10.53
2023,贵州,2300000000000,9.52
2024,贵州,2500000000000,8.7
2025,贵州,2700000000000,8.0
