date,repo,language,stars,forks,daily_stars
2026-06-25,langchain-ai/langchain,Python,92000,14500,561
2026-06-24,langchain-ai/langchain,Python,92000,14500,408
2026-06-23,langchain-ai/langchain,Python,92000,14500,405
2026-06-22,langchain-ai/langchain,Python,92000,14500,490
2026-06-21,langchain-ai/langchain,Python,92000,14500,409
2026-06-20,langchain-ai/langchain,Python,92000,14500,452
2026-06-19,langchain-ai/langchain,Python,92000,14500,701
2026-06-25,openai/openai-python,Python,21000,4200,98
2026-06-24,openai/openai-python,Python,21000,4200,95
2026-06-23,openai/openai-python,Python,21000,4200,88
2026-06-22,openai/openai-python,Python,21000,4200,124
2026-06-21,openai/openai-python,Python,21000,4200,100
2026-06-20,openai/openai-python,Python,21000,4200,87
2026-06-19,openai/openai-python,Python,21000,4200,139
2026-06-25,streamlit/streamlit,Python,35000,3200,237
2026-06-24,streamlit/streamlit,Python,35000,3200,148
2026-06-23,streamlit/streamlit,Python,35000,3200,93
2026-06-22,streamlit/streamlit,Python,35000,3200,219
2026-06-21,streamlit/streamlit,Python,35000,3200,145
2026-06-20,streamlit/streamlit,Python,35000,3200,209
2026-06-19,streamlit/streamlit,Python,35000,3200,88
2026-06-25,pandas-dev/pandas,Python,43000,18500,262
2026-06-24,pandas-dev/pandas,Python,43000,18500,149
2026-06-23,pandas-dev/pandas,Python,43000,18500,254
2026-06-22,pandas-dev/pandas,Python,43000,18500,215
2026-06-21,pandas-dev/pandas,Python,43000,18500,163
2026-06-20,pandas-dev/pandas,Python,43000,18500,193
2026-06-19,pandas-dev/pandas,Python,43000,18500,251
2026-06-25,plotly/plotly.py,Python,15500,2400,79
2026-06-24,plotly/plotly.py,Python,15500,2400,88
2026-06-23,plotly/plotly.py,Python,15500,2400,115
2026-06-22,plotly/plotly.py,Python,15500,2400,47
2026-06-21,plotly/plotly.py,Python,15500,2400,108
2026-06-20,plotly/plotly.py,Python,15500,2400,79
2026-06-19,plotly/plotly.py,Python,15500,2400,60
2026-06-25,akfamily/akshare,Python,8900,2100,29
2026-06-24,akfamily/akshare,Python,8900,2100,42
2026-06-23,akfamily/akshare,Python,8900,2100,54
2026-06-22,akfamily/akshare,Python,8900,2100,43
2026-06-21,akfamily/akshare,Python,8900,2100,61
2026-06-20,akfamily/akshare,Python,8900,2100,28
2026-06-19,akfamily/akshare,Python,8900,2100,44
2026-06-25,tiangolo/fastapi,Python,73000,6300,250
2026-06-24,tiangolo/fastapi,Python,73000,6300,398
2026-06-23,tiangolo/fastapi,Python,73000,6300,445
2026-06-22,tiangolo/fastapi,Python,73000,6300,326
2026-06-21,tiangolo/fastapi,Python,73000,6300,127
2026-06-20,tiangolo/fastapi,Python,73000,6300,383
2026-06-19,tiangolo/fastapi,Python,73000,6300,404
2026-06-25,psf/requests,Python,52000,9300,286
2026-06-24,psf/requests,Python,52000,9300,340
2026-06-23,psf/requests,Python,52000,9300,190
2026-06-22,psf/requests,Python,52000,9300,304
2026-06-21,psf/requests,Python,52000,9300,337
2026-06-20,psf/requests,Python,52000,9300,144
2026-06-19,psf/requests,Python,52000,9300,280
2026-06-25,ytdl-org/youtube-dl,Python,130000,9800,568
2026-06-24,ytdl-org/youtube-dl,Python,130000,9800,636
2026-06-23,ytdl-org/youtube-dl,Python,130000,9800,706
2026-06-22,ytdl-org/youtube-dl,Python,130000,9800,570
2026-06-21,ytdl-org/youtube-dl,Python,130000,9800,540
2026-06-20,ytdl-org/youtube-dl,Python,130000,9800,655
2026-06-19,ytdl-org/youtube-dl,Python,130000,9800,473
2026-06-25,django/django,Python,78000,31000,284
2026-06-24,django/django,Python,78000,31000,456
2026-06-23,django/django,Python,78000,31000,277
2026-06-22,django/django,Python,78000,31000,454
2026-06-21,django/django,Python,78000,31000,435
2026-06-20,django/django,Python,78000,31000,221
2026-06-19,django/django,Python,78000,31000,323
