date,open,close,high,low,volume
2025-06-25,1700.0,1719.05,1730.79,1689.68,2696833
2025-06-26,1719.05,1723.13,1724.0,1708.68,2303527
2025-06-27,1723.13,1671.49,1724.49,1658.27,1727487
2025-06-30,1671.49,1677.73,1696.42,1659.21,1400649
2025-07-01,1677.73,1648.69,1690.36,1635.73,2342756
2025-07-02,1648.69,1665.83,1678.74,1647.3,1566182
2025-07-03,1665.83,1648.64,1670.1,1627.63,2808332
2025-07-04,1648.64,1648.88,1656.16,1645.68,3454898
2025-07-07,1648.88,1653.42,1659.1,1647.26,2880308
2025-07-08,1653.42,1655.7,1656.24,1644.13,2035969
2025-07-09,1655.7,1614.73,1678.87,1598.66,2014966
2025-07-10,1614.73,1594.65,1626.29,1590.89,3373419
2025-07-11,1594.65,1576.12,1598.21,1565.58,4001604
2025-07-14,1576.12,1543.21,1580.02,1535.39,2789659
2025-07-15,1543.21,1538.84,1544.82,1538.3,2397098
2025-07-16,1538.84,1566.31,1594.01,1531.98,1541137
2025-07-17,1566.31,1564.6,1598.63,1554.54,3647381
2025-07-18,1564.6,1612.63,1619.77,1557.48,3639877
2025-07-21,1612.63,1602.43,1615.26,1594.98,1789670
2025-07-22,1602.43,1584.51,1618.12,1584.07,1961018
2025-07-23,1584.51,1591.97,1611.78,1580.31,3083470
2025-07-24,1591.97,1535.63,1596.73,1520.55,1653251
2025-07-25,1535.63,1582.63,1587.94,1526.97,2460961
2025-07-28,1582.63,1599.33,1600.3,1575.81,1855528
2025-07-29,1599.33,1605.0,1623.16,1597.9,1867264
2025-07-30,1605.0,1584.56,1620.87,1570.72,2926396
2025-07-31,1584.56,1554.19,1588.57,1539.11,2599201
2025-08-01,1554.19,1619.85,1624.95,1551.81,2283618
2025-08-04,1619.85,1624.56,1626.54,1610.68,3169691
2025-08-05,1624.56,1602.39,1641.86,1578.85,2855593
2025-08-06,1602.39,1571.36,1629.98,1566.48,4245099
2025-08-07,1571.36,1571.98,1582.52,1570.33,2430777
2025-08-08,1571.98,1598.77,1602.48,1568.61,2725188
2025-08-11,1598.77,1580.34,1611.46,1578.13,1970978
2025-08-12,1580.34,1596.39,1607.87,1579.99,2493616
2025-08-13,1596.39,1628.4,1634.58,1596.07,3072436
2025-08-14,1628.4,1669.96,1677.41,1628.26,1581714
2025-08-15,1669.96,1638.78,1674.04,1630.79,2369120
2025-08-18,1638.78,1641.27,1648.22,1637.85,2840551
2025-08-19,1641.27,1643.99,1669.97,1628.93,2399138
2025-08-20,1643.99,1609.02,1651.88,1589.31,3353133
2025-08-21,1609.02,1603.64,1628.21,1601.73,2264039
2025-08-22,1603.64,1586.74,1607.52,1581.81,2619291
2025-08-25,1586.74,1592.12,1592.15,1581.19,3333452
2025-08-26,1592.12,1620.12,1639.37,1559.59,3154023
2025-08-27,1620.12,1581.07,1623.04,1566.27,1238613
2025-08-28,1581.07,1597.27,1606.97,1573.78,686270
2025-08-29,1597.27,1582.37,1602.28,1563.65,2628351
2025-09-01,1582.37,1582.72,1590.06,1580.85,1818851
2025-09-02,1582.72,1617.6,1619.65,1582.38,1846712
2025-09-03,1617.6,1605.5,1629.05,1603.28,3698195
2025-09-04,1605.5,1566.66,1626.23,1548.22,2353473
2025-09-05,1566.66,1548.58,1579.69,1541.07,3778206
2025-09-08,1548.58,1568.25,1574.37,1521.85,2075999
2025-09-09,1568.25,1589.98,1593.79,1551.92,3593057
2025-09-10,1589.98,1591.69,1601.28,1584.13,2025599
2025-09-11,1591.69,1650.17,1651.97,1587.04,2629276
2025-09-12,1650.17,1610.98,1663.0,1595.51,2040174
2025-09-15,1610.98,1581.43,1617.9,1566.43,3003267
2025-09-16,1581.43,1610.57,1620.32,1563.44,3550933
2025-09-17,1610.57,1602.02,1613.8,1585.0,2889361
2025-09-18,1602.02,1615.97,1643.96,1593.78,3149488
2025-09-19,1615.97,1618.44,1621.91,1596.21,2855485
2025-09-22,1618.44,1634.93,1648.96,1613.71,1912553
2025-09-23,1634.93,1605.0,1660.65,1578.6,1727754
2025-09-24,1605.0,1599.41,1608.55,1595.48,3071016
2025-09-25,1599.41,1624.98,1632.56,1597.27,2697805
2025-09-26,1624.98,1618.52,1645.88,1612.16,3014414
2025-09-29,1618.52,1638.64,1654.02,1616.18,1592217
2025-09-30,1638.64,1651.25,1659.85,1631.71,2910454
2025-10-01,1651.25,1688.88,1689.17,1647.17,3691550
2025-10-02,1688.88,1697.04,1732.36,1681.24,1267466
2025-10-03,1697.04,1720.9,1726.15,1679.53,2971226
2025-10-06,1720.9,1717.47,1737.76,1714.6,1904635
2025-10-07,1717.47,1700.39,1725.56,1677.67,2776270
2025-10-08,1700.39,1664.63,1706.43,1648.7,2073151
2025-10-09,1664.63,1661.45,1664.83,1651.02,2953796
2025-10-10,1661.45,1658.66,1667.03,1646.89,2193779
2025-10-13,1658.66,1681.06,1686.08,1635.75,2220254
2025-10-14,1681.06,1688.7,1701.3,1661.99,1267433
2025-10-15,1688.7,1643.17,1705.76,1635.92,4290739
2025-10-16,1643.17,1627.3,1645.6,1607.23,3904265
2025-10-17,1627.3,1688.5,1704.82,1613.97,2914768
2025-10-20,1688.5,1713.0,1720.56,1677.45,2497637
2025-10-21,1713.0,1708.61,1719.21,1699.09,3168713
2025-10-22,1708.61,1712.18,1732.42,1693.01,2364438
2025-10-23,1712.18,1690.95,1737.75,1689.83,2414776
2025-10-24,1690.95,1737.86,1746.63,1677.09,3797864
2025-10-27,1737.86,1776.92,1785.2,1734.71,1828392
2025-10-28,1776.92,1765.91,1792.4,1739.28,3580270
2025-10-29,1765.91,1751.25,1781.72,1749.28,1262092
2025-10-30,1751.25,1762.31,1764.4,1744.72,1383707
2025-10-31,1762.31,1779.49,1787.07,1745.82,489416
2025-11-03,1779.49,1779.5,1804.73,1755.84,2180032
2025-11-04,1779.5,1761.1,1786.17,1747.03,2711254
2025-11-05,1761.1,1786.26,1803.79,1759.69,2357428
2025-11-06,1786.26,1758.93,1798.08,1755.74,2757155
2025-11-07,1758.93,1788.73,1800.22,1737.92,2310213
2025-11-10,1788.73,1788.94,1799.63,1754.04,3118831
2025-11-11,1788.94,1813.56,1817.64,1787.98,2861157
2025-11-12,1813.56,1763.46,1821.23,1752.25,1621997
2025-11-13,1763.46,1773.66,1792.91,1756.88,2475050
2025-11-14,1773.66,1722.98,1790.18,1712.85,1932823
2025-11-17,1722.98,1730.06,1745.96,1708.98,2543175
2025-11-18,1730.06,1744.28,1753.95,1727.62,2243080
2025-11-19,1744.28,1719.17,1745.48,1704.42,455054
2025-11-20,1719.17,1733.54,1746.07,1686.67,1793188
2025-11-21,1733.54,1753.72,1782.59,1733.25,1990397
2025-11-24,1753.72,1748.83,1773.01,1739.79,1940565
2025-11-25,1748.83,1734.5,1762.16,1732.8,3637274
2025-11-26,1734.5,1745.46,1748.98,1730.46,1405766
2025-11-27,1745.46,1774.08,1775.18,1742.94,4735175
2025-11-28,1774.08,1784.5,1795.24,1768.03,3303911
2025-12-01,1784.5,1789.04,1809.62,1771.38,2032299
2025-12-02,1789.04,1850.25,1866.24,1782.63,3396711
2025-12-03,1850.25,1853.44,1866.08,1843.08,1907550
2025-12-04,1853.44,1832.9,1868.71,1827.99,2217446
2025-12-05,1832.9,1802.3,1839.11,1772.56,1752726
2025-12-08,1802.3,1803.99,1824.37,1801.15,2816660
2025-12-09,1803.99,1770.39,1810.17,1767.74,3190010
2025-12-10,1770.39,1809.12,1846.59,1762.18,2728057
2025-12-11,1809.12,1816.35,1821.48,1804.22,2293219
2025-12-12,1816.35,1822.77,1841.98,1801.72,3297914
2025-12-15,1822.77,1866.89,1868.66,1791.83,2074524
2025-12-16,1866.89,1911.41,1911.76,1851.97,2146657
2025-12-17,1911.41,1941.29,1949.78,1907.76,2243222
2025-12-18,1941.29,1928.57,1955.61,1903.65,2274375
2025-12-19,1928.57,1971.79,1995.78,1913.17,2197865
2025-12-22,1971.79,1987.1,1987.49,1957.53,2727051
2025-12-23,1987.1,1945.92,2005.98,1938.69,2640811
2025-12-24,1945.92,1956.82,1960.87,1936.79,2167567
2025-12-25,1956.82,1988.49,2009.9,1954.84,3857250
2025-12-26,1988.49,1953.68,1999.27,1945.64,2625707
2025-12-29,1953.68,1966.98,1974.68,1943.76,3276789
2025-12-30,1966.98,1982.48,1986.3,1956.4,3829917
2025-12-31,1982.48,1978.73,1997.93,1961.21,2415733
2026-01-01,1978.73,1902.34,1992.15,1894.19,2436626
2026-01-02,1902.34,1914.66,1917.58,1891.54,2195159
2026-01-05,1914.66,1933.3,1937.31,1903.34,2930757
2026-01-06,1933.3,1901.71,1950.1,1893.56,3065640
2026-01-07,1901.71,1915.24,1943.4,1898.31,2255478
2026-01-08,1915.24,1915.53,1920.17,1902.98,1368582
2026-01-09,1915.53,1880.15,1931.89,1865.86,3697429
2026-01-12,1880.15,1877.56,1882.69,1876.51,3313314
2026-01-13,1877.56,1847.16,1881.14,1832.74,2850765
2026-01-14,1847.16,1854.38,1869.23,1807.21,2974512
2026-01-15,1854.38,1833.48,1881.54,1825.98,3461560
2026-01-16,1833.48,1829.86,1847.45,1806.26,3420440
2026-01-19,1829.86,1884.79,1895.98,1828.75,1378623
2026-01-20,1884.79,1877.38,1897.5,1844.78,2376879
2026-01-21,1877.38,1882.49,1890.79,1876.73,3686535
2026-01-22,1882.49,1862.33,1885.42,1851.27,1575984
2026-01-23,1862.33,1842.75,1862.88,1836.42,2015305
2026-01-26,1842.75,1797.03,1843.98,1775.39,3032039
2026-01-27,1797.03,1800.59,1821.59,1792.58,1973490
2026-01-28,1800.59,1811.84,1831.27,1773.58,2580518
2026-01-29,1811.84,1807.52,1821.57,1804.44,1973621
2026-01-30,1807.52,1798.04,1819.03,1782.57,2514918
2026-02-02,1798.04,1860.47,1861.38,1787.85,1440399
2026-02-03,1860.47,1801.02,1884.05,1797.17,2856107
2026-02-04,1801.02,1750.66,1813.92,1743.9,2602755
2026-02-05,1750.66,1802.34,1815.27,1746.9,1876165
2026-02-06,1802.34,1733.43,1812.71,1730.5,1808974
2026-02-09,1733.43,1730.2,1734.5,1727.09,2044998
2026-02-10,1730.2,1736.32,1742.46,1715.11,3487652
2026-02-11,1736.32,1734.11,1736.58,1724.28,2663251
2026-02-12,1734.11,1764.73,1768.78,1725.61,2753052
2026-02-13,1764.73,1729.28,1766.26,1728.82,2354318
2026-02-16,1729.28,1726.14,1755.31,1718.56,2564991
2026-02-17,1726.14,1731.97,1746.21,1708.66,1893677
2026-02-18,1731.97,1763.06,1769.09,1723.02,3742717
2026-02-19,1763.06,1726.06,1776.02,1712.25,2030565
2026-02-20,1726.06,1770.19,1773.73,1722.08,2682225
2026-02-23,1770.19,1766.79,1781.67,1755.58,1276027
2026-02-24,1766.79,1809.16,1833.22,1752.2,3288693
2026-02-25,1809.16,1774.54,1815.1,1758.84,2349555
2026-02-26,1774.54,1765.58,1785.6,1747.08,3476978
2026-02-27,1765.58,1748.6,1768.54,1725.05,1935890
2026-03-02,1748.6,1779.84,1802.85,1731.33,2085275
2026-03-03,1779.84,1779.89,1783.88,1768.32,2796842
2026-03-04,1779.89,1765.6,1780.09,1757.88,2504495
2026-03-05,1765.6,1752.61,1767.14,1751.37,2240992
2026-03-06,1752.61,1745.32,1775.02,1737.49,2293163
2026-03-09,1745.32,1768.09,1772.81,1728.94,2758749
2026-03-10,1768.09,1765.56,1774.42,1743.37,1711262
2026-03-11,1765.56,1728.5,1767.58,1704.54,4061910
2026-03-12,1728.5,1749.21,1756.22,1703.59,2120128
2026-03-13,1749.21,1725.29,1757.9,1722.96,2169536
2026-03-16,1725.29,1664.68,1735.61,1650.39,2667472
2026-03-17,1664.68,1727.66,1740.37,1630.98,2299797
2026-03-18,1727.66,1762.76,1790.38,1710.67,2847689
2026-03-19,1762.76,1748.88,1764.26,1711.88,1447920
2026-03-20,1748.88,1757.74,1764.32,1733.69,2568588
2026-03-23,1757.74,1768.37,1773.91,1753.96,2259765
2026-03-24,1768.37,1789.04,1794.33,1763.03,2479516
2026-03-25,1789.04,1826.19,1826.94,1763.66,3383345
2026-03-26,1826.19,1797.33,1835.74,1788.77,3462106
2026-03-27,1797.33,1729.14,1842.45,1714.53,2656267
2026-03-30,1729.14,1728.29,1733.09,1721.09,2951650
2026-03-31,1728.29,1746.44,1747.69,1725.57,2394108
2026-04-01,1746.44,1741.19,1762.28,1732.92,441727
2026-04-02,1741.19,1762.62,1765.36,1740.93,2228037
2026-04-03,1762.62,1799.16,1812.8,1751.72,2784936
2026-04-06,1799.16,1768.6,1819.02,1759.73,3103675
2026-04-07,1768.6,1799.82,1807.21,1758.34,2861324
2026-04-08,1799.82,1779.94,1806.04,1768.54,3028003
2026-04-09,1779.94,1818.92,1829.23,1774.94,3249105
2026-04-10,1818.92,1818.96,1831.8,1816.55,1978568
2026-04-13,1818.96,1797.77,1821.07,1786.37,2284426
2026-04-14,1797.77,1737.39,1800.83,1737.37,1928037
2026-04-15,1737.39,1758.87,1772.07,1715.04,1966092
2026-04-16,1758.87,1735.4,1772.1,1723.89,2364321
2026-04-17,1735.4,1728.01,1763.22,1719.22,1632519
2026-04-20,1728.01,1730.73,1734.58,1709.2,1583825
2026-04-21,1730.73,1637.53,1733.28,1613.95,3367262
2026-04-22,1637.53,1644.53,1651.0,1626.96,1818517
2026-04-23,1644.53,1659.45,1666.17,1630.58,4431762
2026-04-24,1659.45,1672.01,1678.81,1659.12,1261646
2026-04-27,1672.01,1651.93,1677.48,1645.01,2606648
2026-04-28,1651.93,1628.31,1666.75,1628.3,2493489
2026-04-29,1628.31,1619.51,1630.33,1608.82,1893008
2026-04-30,1619.51,1601.13,1623.44,1583.89,1926519
2026-05-01,1601.13,1588.21,1612.33,1584.87,2635512
2026-05-04,1588.21,1613.33,1615.1,1583.25,2427744
2026-05-05,1613.33,1621.84,1629.4,1581.85,2406004
2026-05-06,1621.84,1664.19,1676.52,1609.32,3365291
2026-05-07,1664.19,1667.67,1670.31,1655.96,2278749
2026-05-08,1667.67,1686.99,1703.24,1665.81,2184867
2026-05-11,1686.99,1687.85,1695.97,1667.51,892673
2026-05-12,1687.85,1671.97,1704.34,1665.17,2396553
2026-05-13,1671.97,1659.17,1691.4,1654.83,2710332
2026-05-14,1659.17,1678.58,1693.87,1645.37,2446964
2026-05-15,1678.58,1699.67,1714.25,1657.71,3072522
2026-05-18,1699.67,1712.04,1724.4,1687.85,3287804
2026-05-19,1712.04,1676.24,1734.54,1664.17,2946874
2026-05-20,1676.24,1667.17,1684.33,1659.91,2386044
2026-05-21,1667.17,1669.23,1682.61,1657.29,2140750
2026-05-22,1669.23,1663.19,1682.51,1629.1,2366280
2026-05-25,1663.19,1736.25,1747.15,1662.94,2315976
2026-05-26,1736.25,1737.82,1745.43,1719.85,3280025
2026-05-27,1737.82,1761.07,1771.19,1731.73,2513731
2026-05-28,1761.07,1783.28,1791.72,1756.08,2098478
2026-05-29,1783.28,1787.44,1809.59,1765.6,1472732
2026-06-01,1787.44,1793.64,1794.37,1784.96,2670767
2026-06-02,1793.64,1787.33,1815.01,1764.44,1920052
2026-06-03,1787.33,1784.9,1810.82,1782.39,3663029
2026-06-04,1784.9,1786.46,1789.76,1766.9,2068547
2026-06-05,1786.46,1775.29,1791.0,1757.09,2890383
2026-06-08,1775.29,1740.66,1778.79,1733.72,3298104
2026-06-09,1740.66,1791.05,1805.6,1729.37,1619695
2026-06-10,1791.05,1784.4,1797.73,1770.31,2446834
2026-06-11,1784.4,1775.02,1786.57,1763.16,3962677
2026-06-12,1775.02,1724.54,1777.65,1696.63,2504759
2026-06-15,1724.54,1719.51,1729.48,1717.03,3460993
2026-06-16,1719.51,1651.91,1740.6,1633.09,2313343
2026-06-17,1651.91,1639.97,1659.68,1619.0,2823520
2026-06-18,1639.97,1700.55,1719.09,1637.48,2036612
2026-06-19,1700.55,1714.43,1714.7,1691.82,2841510
2026-06-22,1714.43,1770.97,1773.68,1704.56,1594708
2026-06-23,1770.97,1741.37,1777.66,1720.69,2748929
2026-06-24,1741.37,1732.43,1741.38,1715.1,2923160
