date,district,price_per_sqm,area_sqm,rooms
2025-06-25,福田,96416.0,81.5,1
2025-06-25,南山,107040.0,123.1,1
2025-06-25,罗湖,69508.0,79.1,3
2025-06-25,宝安,68079.0,104.2,2
2025-06-25,龙岗,47324.0,98.6,2
2025-06-25,龙华,59166.0,73.4,2
2025-06-25,光明,42305.0,37.2,1
2025-06-25,坪山,33189.0,70.9,4
2025-06-30,福田,92178.0,92.9,1
2025-06-30,南山,102212.0,49.7,4
2025-06-30,罗湖,73126.0,79.4,3
2025-06-30,宝安,65176.0,49.4,1
2025-06-30,龙岗,47249.0,87.8,1
2025-06-30,龙华,57969.0,94.4,1
2025-06-30,光明,41272.0,77.7,2
2025-06-30,坪山,34392.0,131.3,2
2025-07-05,福田,95092.0,58.6,4
2025-07-05,南山,107735.0,54.5,4
2025-07-05,罗湖,70535.0,36.0,1
2025-07-05,宝安,62499.0,89.9,4
2025-07-05,龙岗,49129.0,89.3,2
2025-07-05,龙华,59874.0,77.5,4
2025-07-05,光明,40195.0,67.0,3
2025-07-05,坪山,34564.0,111.4,2
2025-07-10,福田,96175.0,40.9,3
2025-07-10,南山,106237.0,75.4,4
2025-07-10,罗湖,68722.0,100.3,3
2025-07-10,宝安,67144.0,108.3,1
2025-07-10,龙岗,46890.0,77.3,2
2025-07-10,龙华,60720.0,109.4,3
2025-07-10,光明,41483.0,80.4,3
2025-07-10,坪山,33910.0,55.1,3
2025-07-15,福田,97576.0,118.9,2
2025-07-15,南山,105061.0,110.1,2
2025-07-15,罗湖,70951.0,68.9,3
2025-07-15,宝安,65883.0,123.5,1
2025-07-15,龙岗,48080.0,124.1,1
2025-07-15,龙华,55449.0,105.5,3
2025-07-15,光明,42225.0,77.5,1
2025-07-15,坪山,35192.0,35.3,3
2025-07-20,福田,94699.0,93.9,3
2025-07-20,南山,110015.0,72.0,4
2025-07-20,罗湖,68542.0,72.5,3
2025-07-20,宝安,67008.0,93.2,1
2025-07-20,龙岗,47402.0,97.8,3
2025-07-20,龙华,60380.0,109.2,4
2025-07-20,光明,41259.0,76.8,1
2025-07-20,坪山,34708.0,48.4,3
2025-07-25,福田,96234.0,91.5,1
2025-07-25,南山,105448.0,79.1,4
2025-07-25,罗湖,67315.0,74.5,3
2025-07-25,宝安,64599.0,64.9,4
2025-07-25,龙岗,47965.0,95.1,3
2025-07-25,龙华,63642.0,89.4,4
2025-07-25,光明,42497.0,83.1,2
2025-07-25,坪山,33129.0,84.3,1
2025-07-30,福田,95627.0,146.6,1
2025-07-30,南山,104897.0,92.5,2
2025-07-30,罗湖,70263.0,55.8,3
2025-07-30,宝安,67540.0,103.8,1
2025-07-30,龙岗,49369.0,62.3,2
2025-07-30,龙华,62813.0,50.0,1
2025-07-30,光明,42941.0,139.8,3
2025-07-30,坪山,34128.0,70.8,3
2025-08-04,福田,95805.0,72.4,3
2025-08-04,南山,100691.0,86.7,3
2025-08-04,罗湖,68153.0,96.8,2
2025-08-04,宝安,63563.0,123.7,3
2025-08-04,龙岗,47135.0,76.9,3
2025-08-04,龙华,61793.0,54.2,2
2025-08-04,光明,42517.0,117.7,3
2025-08-04,坪山,33504.0,89.6,1
2025-08-09,福田,96326.0,104.5,4
2025-08-09,南山,101751.0,52.0,2
2025-08-09,罗湖,71528.0,92.4,4
2025-08-09,宝安,65889.0,93.7,2
2025-08-09,龙岗,47317.0,90.8,2
2025-08-09,龙华,60897.0,67.1,3
2025-08-09,光明,44610.0,96.8,3
2025-08-09,坪山,33965.0,101.4,3
2025-08-14,福田,92873.0,104.7,4
2025-08-14,南山,109369.0,64.5,2
2025-08-14,罗湖,72503.0,95.3,3
2025-08-14,宝安,67048.0,132.4,1
2025-08-14,龙岗,47975.0,66.2,2
2025-08-14,龙华,58810.0,64.6,1
2025-08-14,光明,42191.0,93.5,3
2025-08-14,坪山,35530.0,105.7,3
2025-08-19,福田,95753.0,121.3,3
2025-08-19,南山,104957.0,153.0,1
2025-08-19,罗湖,71841.0,63.6,2
2025-08-19,宝安,63401.0,97.1,4
2025-08-19,龙岗,48040.0,102.9,3
2025-08-19,龙华,61304.0,83.2,2
2025-08-19,光明,41249.0,47.1,3
2025-08-19,坪山,34795.0,106.4,3
2025-08-24,福田,96391.0,53.9,3
2025-08-24,南山,106409.0,94.6,2
2025-08-24,罗湖,68719.0,88.8,3
2025-08-24,宝安,65648.0,56.4,2
2025-08-24,龙岗,48910.0,99.0,2
2025-08-24,龙华,62443.0,111.3,4
2025-08-24,光明,40609.0,61.6,4
2025-08-24,坪山,35828.0,97.8,3
2025-08-29,福田,97314.0,181.3,4
2025-08-29,南山,107733.0,113.4,3
2025-08-29,罗湖,72627.0,101.3,4
2025-08-29,宝安,64964.0,104.0,3
2025-08-29,龙岗,47315.0,79.1,3
2025-08-29,龙华,59661.0,87.0,2
2025-08-29,光明,45290.0,38.3,2
2025-08-29,坪山,36032.0,44.7,4
2025-09-03,福田,94566.0,112.2,3
2025-09-03,南山,106209.0,58.1,1
2025-09-03,罗湖,69169.0,102.0,1
2025-09-03,宝安,64199.0,90.4,1
2025-09-03,龙岗,48526.0,68.7,2
2025-09-03,龙华,64434.0,100.8,2
2025-09-03,光明,39851.0,89.7,3
2025-09-03,坪山,34641.0,106.3,4
2025-09-08,福田,93717.0,82.1,1
2025-09-08,南山,107669.0,106.6,3
2025-09-08,罗湖,68199.0,76.6,3
2025-09-08,宝安,64742.0,68.7,4
2025-09-08,龙岗,51035.0,95.1,3
2025-09-08,龙华,58347.0,107.9,4
2025-09-08,光明,45105.0,110.8,3
2025-09-08,坪山,33764.0,72.9,4
2025-09-13,福田,99652.0,67.3,1
2025-09-13,南山,107549.0,104.4,1
2025-09-13,罗湖,68821.0,83.5,4
2025-09-13,宝安,59392.0,59.4,3
2025-09-13,龙岗,48162.0,53.8,3
2025-09-13,龙华,63596.0,49.2,1
2025-09-13,光明,41906.0,88.3,3
2025-09-13,坪山,36897.0,49.1,3
2025-09-18,福田,99421.0,85.3,2
2025-09-18,南山,103131.0,96.6,3
2025-09-18,罗湖,71233.0,70.0,1
2025-09-18,宝安,65893.0,75.4,3
2025-09-18,龙岗,48722.0,101.6,4
2025-09-18,龙华,63553.0,54.1,2
2025-09-18,光明,45177.0,36.2,4
2025-09-18,坪山,35248.0,99.7,1
2025-09-23,福田,96972.0,69.4,3
2025-09-23,南山,105639.0,72.7,4
2025-09-23,罗湖,69625.0,106.2,4
2025-09-23,宝安,66498.0,67.7,2
2025-09-23,龙岗,49887.0,92.7,2
2025-09-23,龙华,62203.0,100.7,3
2025-09-23,光明,41473.0,71.0,2
2025-09-23,坪山,36216.0,100.3,4
2025-09-28,福田,96177.0,87.9,4
2025-09-28,南山,110391.0,70.2,1
2025-09-28,罗湖,72060.0,79.9,4
2025-09-28,宝安,65421.0,112.5,3
2025-09-28,龙岗,49813.0,105.3,3
2025-09-28,龙华,63131.0,85.5,1
2025-09-28,光明,43406.0,77.2,1
2025-09-28,坪山,35796.0,81.7,3
2025-10-03,福田,96578.0,99.9,3
2025-10-03,南山,103861.0,137.3,2
2025-10-03,罗湖,68846.0,54.6,1
2025-10-03,宝安,68149.0,104.8,2
2025-10-03,龙岗,49556.0,100.7,4
2025-10-03,龙华,60800.0,62.6,1
2025-10-03,光明,42671.0,68.1,1
2025-10-03,坪山,36503.0,81.3,3
2025-10-08,福田,94014.0,77.0,1
2025-10-08,南山,107811.0,70.9,4
2025-10-08,罗湖,69280.0,91.1,2
2025-10-08,宝安,66413.0,72.3,2
2025-10-08,龙岗,48012.0,90.8,3
2025-10-08,龙华,58256.0,49.8,4
2025-10-08,光明,41699.0,79.7,2
2025-10-08,坪山,35830.0,121.9,3
2025-10-13,福田,98876.0,81.0,4
2025-10-13,南山,106522.0,59.9,4
2025-10-13,罗湖,71016.0,77.8,3
2025-10-13,宝安,66609.0,64.3,2
2025-10-13,龙岗,49471.0,123.3,4
2025-10-13,龙华,60708.0,95.0,2
2025-10-13,光明,43502.0,75.0,3
2025-10-13,坪山,35763.0,85.3,3
2025-10-18,福田,96775.0,65.7,3
2025-10-18,南山,106731.0,97.4,3
2025-10-18,罗湖,74150.0,109.0,4
2025-10-18,宝安,70223.0,65.8,3
2025-10-18,龙岗,50012.0,89.6,1
2025-10-18,龙华,64887.0,64.8,2
2025-10-18,光明,41604.0,70.0,2
2025-10-18,坪山,33321.0,71.9,1
2025-10-23,福田,94398.0,88.8,3
2025-10-23,南山,107803.0,131.9,1
2025-10-23,罗湖,73147.0,70.6,4
2025-10-23,宝安,64317.0,97.3,4
2025-10-23,龙岗,46888.0,130.8,2
2025-10-23,龙华,63109.0,73.3,4
2025-10-23,光明,40532.0,118.8,2
2025-10-23,坪山,35455.0,115.9,1
2025-10-28,福田,92083.0,70.0,1
2025-10-28,南山,106814.0,86.2,1
2025-10-28,罗湖,70253.0,100.6,2
2025-10-28,宝安,64031.0,81.4,1
2025-10-28,龙岗,48995.0,97.9,1
2025-10-28,龙华,62308.0,56.9,3
2025-10-28,光明,40786.0,116.9,1
2025-10-28,坪山,35948.0,66.3,4
2025-11-02,福田,101113.0,87.9,2
2025-11-02,南山,110585.0,86.7,3
2025-11-02,罗湖,75574.0,128.9,3
2025-11-02,宝安,65672.0,109.3,2
2025-11-02,龙岗,49784.0,119.2,4
2025-11-02,龙华,59332.0,102.2,2
2025-11-02,光明,44082.0,41.0,4
2025-11-02,坪山,34381.0,34.0,4
2025-11-07,福田,95989.0,102.9,3
2025-11-07,南山,111674.0,86.9,2
2025-11-07,罗湖,74715.0,50.5,3
2025-11-07,宝安,62880.0,83.6,3
2025-11-07,龙岗,49441.0,84.2,2
2025-11-07,龙华,57388.0,82.8,1
2025-11-07,光明,41133.0,101.7,1
2025-11-07,坪山,36032.0,61.5,3
2025-11-12,福田,95357.0,58.5,3
2025-11-12,南山,106816.0,108.9,3
2025-11-12,罗湖,69272.0,97.6,3
2025-11-12,宝安,65213.0,65.2,3
