timestamp,topic,category,heat
2026-06-25 12:00:00,高考志愿填报,教育,13503495
2026-06-25 13:00:00,高考志愿填报,教育,16440844
2026-06-25 14:00:00,高考志愿填报,教育,16507542
2026-06-25 15:00:00,高考志愿填报,教育,15054663
2026-06-25 16:00:00,高考志愿填报,教育,13580541
2026-06-25 17:00:00,高考志愿填报,教育,11965358
2026-06-25 18:00:00,高考志愿填报,教育,10471059
2026-06-25 19:00:00,高考志愿填报,教育,8853621
2026-06-25 20:00:00,高考志愿填报,教育,7428443
2026-06-25 21:00:00,高考志愿填报,教育,6160447
2026-06-25 22:00:00,高考志愿填报,教育,4388527
2026-06-25 23:00:00,高考志愿填报,教育,3055997
2026-06-25 12:00:00,iPhone 新品爆料,科技,10436416
2026-06-25 13:00:00,iPhone 新品爆料,科技,11986735
2026-06-25 14:00:00,iPhone 新品爆料,科技,12055302
2026-06-25 15:00:00,iPhone 新品爆料,科技,13460160
2026-06-25 16:00:00,iPhone 新品爆料,科技,15034932
2026-06-25 17:00:00,iPhone 新品爆料,科技,13431243
2026-06-25 18:00:00,iPhone 新品爆料,科技,10477747
2026-06-25 19:00:00,iPhone 新品爆料,科技,9050349
2026-06-25 20:00:00,iPhone 新品爆料,科技,7600548
2026-06-25 21:00:00,iPhone 新品爆料,科技,6094166
2026-06-25 22:00:00,iPhone 新品爆料,科技,4514344
2026-06-25 23:00:00,iPhone 新品爆料,科技,2989941
2026-06-25 12:00:00,端午高速免费,民生,4593627
2026-06-25 13:00:00,端午高速免费,民生,6028057
2026-06-25 14:00:00,端午高速免费,民生,7584606
2026-06-25 15:00:00,端午高速免费,民生,8924054
2026-06-25 16:00:00,端午高速免费,民生,10504624
2026-06-25 17:00:00,端午高速免费,民生,11831930
2026-06-25 18:00:00,端午高速免费,民生,13611593
2026-06-25 19:00:00,端午高速免费,民生,14858227
2026-06-25 20:00:00,端午高速免费,民生,13536055
2026-06-25 21:00:00,端午高速免费,民生,10570314
2026-06-25 22:00:00,端午高速免费,民生,7317129
2026-06-25 23:00:00,端午高速免费,民生,4525198
2026-06-25 12:00:00,欧洲杯揭幕战,体育,3068998
2026-06-25 13:00:00,欧洲杯揭幕战,体育,2944588
2026-06-25 14:00:00,欧洲杯揭幕战,体育,4389160
2026-06-25 15:00:00,欧洲杯揭幕战,体育,5954897
2026-06-25 16:00:00,欧洲杯揭幕战,体育,8945281
2026-06-25 17:00:00,欧洲杯揭幕战,体育,12027135
2026-06-25 18:00:00,欧洲杯揭幕战,体育,14913421
2026-06-25 19:00:00,欧洲杯揭幕战,体育,16483500
2026-06-25 20:00:00,欧洲杯揭幕战,体育,15020260
2026-06-25 21:00:00,欧洲杯揭幕战,体育,10476909
2026-06-25 22:00:00,欧洲杯揭幕战,体育,7493009
2026-06-25 23:00:00,欧洲杯揭幕战,体育,4618518
2026-06-25 12:00:00,油价调整,民生,5906051
2026-06-25 13:00:00,油价调整,民生,7533612
2026-06-25 14:00:00,油价调整,民生,8933114
2026-06-25 15:00:00,油价调整,民生,10639720
2026-06-25 16:00:00,油价调整,民生,11943327
2026-06-25 17:00:00,油价调整,民生,10548246
2026-06-25 18:00:00,油价调整,民生,9001665
2026-06-25 19:00:00,油价调整,民生,7608991
2026-06-25 20:00:00,油价调整,民生,6062843
2026-06-25 21:00:00,油价调整,民生,4544911
2026-06-25 22:00:00,油价调整,民生,2880595
2026-06-25 23:00:00,油价调整,民生,1464444
2026-06-25 12:00:00,国产大飞机首航,科技,7550770
2026-06-25 13:00:00,国产大飞机首航,科技,9020101
