角色,职业/定位,单位类型,移动速度,移动特性,攻击力,血量,价格金币,主要技能,召唤物,攻击方式,子弹/法术,可对空,可对地,攻击速度,攻击间隔秒,说明
角色1,基础单位,地面,普通,常规,低,低,50,用手上的石棒子打人,无,石棒近战,无,否,是,普通,4,小身板基础角色；用手上的石棒子打人，攻击速度普通，每4秒攻击一次，低攻低血，适合便宜购买
角色2,法师,地面,普通,常规,中,高,150,每60秒召唤1个角色9法阵，法阵再召唤4个角色10小型骷髅,角色9法阵,法杖挥两下后释放攻击,锁敌魔法球,是,是,普通,5,法师型角色；每1分钟召唤角色9法阵，法阵会召唤4个角色10小型骷髅，法球术可以对空，每5秒攻击一次
角色3,弓箭手,地面,普通,常规,50,低,100,每3秒拉弓并发射角色19弓箭攻击敌人,无,弓箭射击,弓箭（角色19）,是,是,普通,3,弓箭手；移动速度普通，攻击速度普通，每3秒拉弓发射角色19弓箭，伤害50，可以攻击天上的敌人
角色4,重锤近战,地面,很慢,常规,高,高,250,贴到敌人身边后每5秒用锤子砸击,无,近战锤击,无,否,是,慢,5,高伤害高血量近战角色；攻击速度慢，速度比角色1更慢，必须贴到敌人身边才能攻击
角色5,大头重击者,地面,慢,走路不稳,高,普通,150,用大头重击敌人,无,头槌重击,无,否,是,慢,5,大头近战角色；攻击速度慢，价格150，每5秒用头重击一次，走路比较慢且不稳
角色6,王冠全能者,地面,普通,常规,高,高,500,每30秒随机召唤1个角色；亡语：死亡时立刻随机召唤4个角色加入场上,随机角色,王冠投掷,王冠（角色8）,是,是,普通,4,非常全能；可对空可对地，用头上的王冠也就是角色8丢出去造成高伤害，亡语会直接随机召唤4个角色加进去
角色7,空中吐火者,空中,普通,飞行,高,普通,200,嘴巴张开时发射角色11火球攻击敌人,无,吐火球,火球（角色11）,是,是,普通,4,空中单位；必须用对空攻击才能打到它，嘴巴张开时会发射角色11高伤害火球
角色8,王冠武器,武器,快,旋转飞行,高,无,不可购买,角色6丢出的王冠旋转砸击敌人,无,旋转砸击,王冠,是,是,随角色6攻击,随角色6攻击,角色6发出的攻击武器；旋转飞行后砸到敌人造成高伤害
角色9,骷髅召唤法阵,法阵,无,固定法阵,无,无,不可购买,生成后召唤4个角色10小型骷髅,角色10小型骷髅,召唤,法阵,否,否,生成后触发,生成后触发,角色2法师每1分钟召唤出来的法阵；法阵负责召唤4个角色10小型骷髅
角色10,小型骷髅,召唤物,普通,骷髅行走,低,低,不可购买,由角色9法阵一次召唤4个,无,骷髅近战,无,否,是,普通,4,角色2法师通过角色9骷髅召唤法阵召唤出来的小型白色骷髅
角色11,火球武器,武器,快,飞行火球,高,无,不可购买,角色7嘴巴张开时发射出来的火球,无,火球飞行撞击,火球,是,是,随角色7攻击,随角色7攻击,角色7发出的火球武器；嘴巴张开时发射，命中敌人造成高伤害
角色12,农民,地面,慢,常规,召唤型,普通,300,每30秒远程扔出3到5个角色13种子，种子抛物线随机落地后长出随机攻击植物,随机植物,远程扔种子,种子（角色13）,否,是,慢,30,农民；本体不能对空，会扔出角色13种子，种子随机落地后长植物，其中部分植物可以对空
角色13,种子,种子/飞行道具,中等,抛物线飞行,无,无,不可购买,被角色12扔出后随机落在场上任意位置，落地30秒后长成角色14小苗,角色14小苗,抛物线落地生长,种子,否,否,随角色12扔种子,随角色12扔种子,角色12扔出来的种子；走抛物线随机落地，30秒后长成角色14小苗
角色14,小苗,植物成长阶段,无,固定生长,无,普通,不可购买,由角色13种子30秒后长成，再过20秒随机长成任意植物角色,随机植物角色,成长,小苗,否,否,成长阶段,成长阶段,角色13种子长出来的小苗；出现20秒后随机长成任意植物，已知可能结果有角色15豌豆植物、角色16坚果和角色18土豆地雷
角色15,豌豆植物,植物,无,固定植物,100,150,不可购买,先鼓一下嘴巴，再喷出角色17豌豆子弹攻击敌人,无,豌豆射击,豌豆子弹（角色17）,否,是,普通,3,角色14小苗20秒后随机可能长成的植物之一；先鼓嘴再喷出角色17豌豆子弹，伤害100，血量150
角色16,坚果,植物,无,固定植物,无,高,不可购买,吸引敌方锁敌并承受攻击,无,嘲讽防御,无,否,否,无,无,角色14小苗20秒后随机可能长成的坚果；敌方会直接锁定并攻击它
角色17,豌豆子弹,武器,快,飞行子弹,100,无,不可购买,角色15豌豆植物鼓嘴后喷出来的子弹,无,飞行撞击,豌豆子弹,否,是,随角色15攻击,随角色15攻击,角色15发射出来的豌豆子弹；攻击力100
角色18,土豆地雷,植物,无,固定植物,自爆高,普通,不可购买,嘲讽强于坚果；敌人会直接跑到它身上后触发自爆并消失,无,自爆,无,否,是,触发式,敌人接触触发,角色14小苗20秒后随机可能长成的自爆植物；自爆后索敌结束，敌人会转去攻击坚果
角色19,弓箭武器,武器,快,飞行弓箭,50,无,不可购买,角色3拉弓后发射出来的弓箭,无,飞行穿刺,弓箭,是,是,随角色3攻击,随角色3攻击,角色3弓箭手发射出来的弓箭；伤害50
角色20,女娲,地面,慢,常规,彩蛋秒杀,非常高,800,普通状态每20秒按倒序生出1个孩子，顺序为角色25、角色24、角色22、角色21并循环；孩子出生时会爆出红色血点；孩子累计死亡4个或自己血量低于40%时进入20秒红眼模式，红眼期间每5秒按同样顺序生1个孩子且只能秒杀1次；死亡后生出25、24、22、21各1个,角色25/角色24/角色22/角色21,生孩子/红眼秒杀,无,红眼可,红眼可,生娃型；红眼限时,20；红眼5,角色20没有武器，主要靠无限生出来的娃儿攻击；只要没被打死就会一直生孩子；生孩子顺序固定为25、24、22、21循环；价格800，血量非常高；他的孩子累计死亡4个后会触发红眼，自己血量低于40%残血时也会触发红眼；红眼只持续20秒，期间生孩子变成5秒一次，并且只可以秒杀最近敌人1次，不管天空还是陆地；角色20被打败后，会把它能生的四个孩子全部生出来
角色21,角色20生出物,生出物,普通,地面小娃行走,低,普通,不可购买,由角色20按顺序生出来，负责靠近敌人用手攻击,无,用手近战,无,否,是,普通,3.6,角色20生出来的孩子之一；不能单独购买和出售，只能由角色20按21、22、24、25顺序循环生出来；血量普通，移动速度普通，靠手攻击
角色22,角色20生出物,生出物,较慢,黑发小娃慢慢行走,30,非常高,不可购买,由角色20生出来后每20秒发射1颗角色23爱心攻击敌人,角色23爱心,爱心远程攻击,爱心（角色23）,否,是,很慢,20,角色20生出来的孩子之一；不能单独购买和出售；靠角色23爱心攻击，每20秒发射一颗爱心，伤害30，血量和妈妈角色20一样高，移动较慢
角色23,爱心武器,武器,快,飞行爱心,30,无,不可购买,角色22每20秒发射出来的爱心,无,爱心飞行撞击,爱心,否,是,随角色22攻击,随角色22攻击,角色22发射出来的爱心子弹；命中敌人造成30伤害
角色24,角色20生出物,生出物,超快,发育过度完全的孩子高速冲刺,高,高,不可购买,由角色20按顺序生出来，靠近敌人后用超强近战攻击,无,超强近战,无,否,是,快,2.2,角色20生出来的发育过度完全孩子；简称超强，血量高、攻击力高、速度超快，不能单独购买和出售
角色25,角色20生出物,空中生出物,普通,发育不完全的细小孩子被风吹起飞行,较弱,普通,不可购买,由角色20按顺序生出来，在天空作战并用手攻击敌人,无,空中手部近战,无,是,是,普通,3.2,角色20生出来的发育不完全孩子；非常非常瘦小、非常细，风一吹就会飞起来；它是空中单位，可以打天空单位，也可以在空中攻击别人，靠手攻击，血量普通，攻击力较弱
角色26,治疗师,地面,普通,常规,治疗/加速型；半血红眼彩蛋,普通,200,每10秒发射角色27加号治疗或加速队友；自己受伤时每20秒自动回血1次；队友满血时仍会发射并让目标提前行动，召唤系提前5秒召唤；受到伤害时出现绿色防护盾，护盾血量40，破掉后8秒才能再次出现；血量低于一半后进入红眼模式，眼睛变大变红，不再发加号，只发射角色29攻击敌人,角色27加号；红眼后角色29,远程治疗/加速；红眼攻击,加号（角色27）/红眼符号（角色29）,是,是,普通,10；自回血20,治疗职业；不主动伤害敌人，主要负责治疗队友和加速队友；不会一直用角色27给自己回血，自己受伤后按20秒节奏回血；绿色护盾会先抵挡伤害，护盾值为40，护盾破掉后有8秒冷却，不会每次挨打都重刷；半血彩蛋触发后变红眼治疗师，停止治疗并改用角色29攻击
角色27,治疗加号,治疗弹,快,飞行治疗/加速,治疗/加速,无,不可购买,由角色26每10秒发射出来，命中受伤队友后回血；命中满血队友后让攻击或召唤提前5秒,无,飞行回血/加速,绿色加号,是,是,随角色26治疗,随角色26治疗,角色26发射出来的加号治疗弹；只影响友方，不攻击敌人；不会优先给发射它的治疗师自己回血；如果目标是召唤系，会让剩余召唤时间减少5秒
角色28,金盏花,植物,无,固定植物,产金币,普通,不可购买,由角色12农民的种子随机长成；每10秒生产1个50金币，点击金币后会飞回对应队伍金币框并给对应队伍加50金币,金币,生产金币,可点击金币,否,否,生产型,10,金盏花是农民种子成长出来的植物之一；左队金盏花产出的金币只加左队，右队金盏花产出的金币只加右队
角色29,红眼符号,武器,快,红色飞行符号,中高,无,不可购买,治疗师角色26半血红眼后发射出来的攻击符号,无,飞行撞击,红眼符号,是,是,随角色26红眼攻击,随角色26红眼攻击,角色26红眼模式专用发射物；治疗师半血后不再发角色27，而是发射角色29攻击敌人
卡槽,角色购买槽,界面槽位,无,固定UI,无,无,不可购买,双队购买卡槽：左队和右队各放一套完整可购买角色卡牌,可购买角色,点击购买/扣费/克隆角色,无,否,否,随金币状态实时置灰,点击触发,底部卡槽避开中间紫色线；左队金币=1000，右队金币=1000；只放角色1、2、3、4、5、6、7、12、20、26；卡牌不消失，同一角色可重复购买，每次购买克隆完整角色并扣对应队伍金币；钱不够时卡牌变暗；战斗中如果金盏花等来源让金币变多，钱够的卡牌会立刻变亮并且可以继续购买，购买时会真实扣金币，不只是显示数字
胜利图,胜利结算画面,界面,无,覆盖舞台,无,无,不可购买,谁赢就显示对应胜利图片，并出现再来一轮按钮,无,结算显示/重新开始,无,否,否,胜利时触发,胜利时触发,左队胜利显示“恭喜左队成功获得胜利”；右队胜利显示“恭喜右队成功获得胜利”；胜利时出现“再来一轮”按钮，点击后金币重置为1000并开始下一轮
战斗系统,核心系统,规则,无,全局,按角色,左右各2500,不可购买,左右阵营互相攻击并判定胜负,无,推进/子弹/召唤物扣敌方阵营血量,由角色触发,是,是,按角色,按角色,左队向右进攻，右队向左进攻；左队血量归零右队胜利，右队血量归零左队胜利，胜利后显示对应胜利图和声音
召唤与子弹系统,核心系统,规则,按生成物,克隆生成,按生成物,按生成物,不可购买,角色攻击、召唤、生孩子、种植物或治疗时生成对应武器、召唤物、植物链、金币和治疗弹,"角色8,9,10,11,13,14,15,16,17,18,19,21,22,23,24,25,27,28,29",生成物按队伍攻击敌方阵营血量、治疗/加速友方或给己方加金币,弓箭/王冠/火球/豌豆/种子/法阵/爱心/孩子生出物/治疗加号/金盏花金币/红眼符号/红眼秒杀,按设定,按设定,按来源角色,按来源角色,子弹和召唤物会被实际克隆出来；左队生成物攻击右队，右队生成物攻击左队；角色21、22、24、25只由角色20女娲按25、24、22、21倒序循环生出来，不能单独出售；角色20普通状态每20秒生孩子，红眼20秒内每5秒生孩子；角色20死亡后按顺序生出四种孩子；角色23只由角色22发射；角色27只由角色26每10秒发射，受伤队友回血，满血队友攻击或召唤提前5秒；角色26自己受伤后每20秒自动回血；角色28由农民种子随机长出，每10秒产50金币；角色29只由角色26半血红眼后发射
