Image: (3072, 4096, 3)
Patch size: 1024, step: 512
Found: '8-1-' at (0,512)
Found: '8-1-' at (0,512)
Found: '0' at (0,512)
Found: '3507' at (0,512)
Found: '8-1-' at (512,512)
Found: '8-1-' at (512,512)
Found: '0786' at (512,512)
Found: '05-07' at (512,512)
Found: '优质服务' at (1024,512)
Found: '86' at (1024,512)
Found: '8-4359' at (1024,512)
Found: '别拆/5元' at (1024,512)
Found: '优质服务' at (1536,512)
Found: '8-4359' at (1536,512)
Found: '别拆/5元' at (1536,512)
Found: '8-1-' at (0,1024)
Found: '8-1-' at (0,1024)
Found: '0' at (0,1024)
Found: '05/07' at (0,1024)
Found: '8-1-492' at (0,1024)
Found: '别拆／5元起' at (0,1024)
Found: '自生产之日起，贮存保质期为2年' at (0,1024)
Found: '环保健康·净享美味' at (0,1024)
Found: '48.5cmx18.5cmx26cm' at (0,1024)
Found: '豫XK16-205-00155' at (0,1024)
Found: 'GB/T27591-2025' at (0,1024)
Found: '一次性餐饮具' at (0,1024)
Found: '9672' at (0,1024)
Found: '旧衣旧鞋携技' at (0,1024)
Found: '优' at (0,1024)
Found: '生产许可证' at (0,1024)
Found: '执行标准' at (0,1024)
Found: '箱尺寸' at (0,1024)
Found: '8-1-' at (512,1024)
Found: '高端品' at (512,1024)
Found: '8-1-' at (512,1024)
Found: '0786' at (512,1024)
Found: '05/07' at (512,1024)
Found: '8-1-492' at (512,1024)
Found: '别拆／5元起' at (512,1024)
Found: 'S' at (512,1024)
Found: 'E' at (512,1024)
Found: 'PR335' at (512,1024)
Found: '2#中号箱*260CM' at (512,1024)
Found: '自生产之日起，贮存保质期为2年' at (512,1024)
Found: '环保健康·净享美味' at (512,1024)
Found: '48.5cmx18.5cmx26cm' at (512,1024)
Found: '康存实业有限公司' at (512,1024)
Found: '04月24日' at (512,1024)
Found: 'emi' at (512,1024)
Found: '豫XK16-205-00155' at (512,1024)
Found: 'GB/T27591-2025' at (512,1024)
Found: '3226' at (512,1024)
Found: '8-1' at (512,1024)
Found: '979'' at (512,1024)
Found: '9672' at (512,1024)
Found: '一次性餐饮具' at (512,1024)
Found: '旧衣旧鞋换钱' at (512,1024)
Found: '扫码上门称量回收' at (512,1024)
Found: '旧衣旧鞋携技' at (512,1024)
Found: '产品名称：洁柔牌纸面巾' at (512,1024)
Found: '优' at (512,1024)
Found: '生产许可证' at (512,1024)
Found: '执行标准' at (512,1024)
Found: '箱尺寸' at (512,1024)
Found: '盛' at (512,1024)
Found: '自' at (512,1024)
Found: '托' at (512,1024)
Found: '务' at (512,1024)
Found: '优质服务' at (1024,1024)
Found: '86' at (1024,1024)
Found: '8-4359' at (1024,1024)
Found: '别拆/5元' at (1024,1024)
Found: 'adxs' at (1024,1024)
Found: 'PR335-24E' at (1024,1024)
Found: '股票代码002511' at (1024,1024)
Found: '中顺洁柔' at (1024,1024)
Found: 'STO' at (1024,1024)
Found: '2#中号箱*260CM' at (1024,1024)
Found: '514' at (1024,1024)
Found: '50' at (1024,1024)
Found: '实业有限公司' at (1024,1024)
Found: 'emi' at (1024,1024)
Found: '8-1-' at (1024,1024)
Found: '7530' at (1024,1024)
Found: '04月24日' at (1024,1024)
Found: '济南中' at (1024,1024)
Found: '770325' at (1024,1024)
Found: '3226' at (1024,1024)
Found: '撞' at (1024,1024)
Found: '高快进，就我量马储站' at (1024,1024)
Found: '0001号' at (1024,1024)
Found: '四中南世' at (1024,1024)
Found: '979'' at (1024,1024)
Found: '8-1' at (1024,1024)
Found: '卫装打码【检验合格】' at (1024,1024)
Found: '扫码可直指下单' at (1024,1024)
Found: '旧衣旧鞋换钱' at (1024,1024)
Found: '扫码上门称量回收' at (1024,1024)
Found: '0mm×138mm/张' at (1024,1024)
Found: '山东省志共' at (1024,1024)
Found: 'B/T20808' at (1024,1024)
Found: '中海' at (1024,1024)
Found: '15979' at (1024,1024)
Found: '名称：洁柔牌纸面巾' at (1024,1024)
Found: 'PR335-24E' at (1024,1024)
Found: '茶花香' at (1024,1024)
Found: '干燥' at (1024,1024)
Found: '称口' at (1024,1024)
Found: '务热线' at (1024,1024)
Found: '名编线' at (1024,1024)
Found: '名' at (1024,1024)
Found: '代原标标等日' at (1024,1024)
Found: '哈' at (1024,1024)
Found: '条规' at (1024,1024)
Found: '产香产主卫执质生保储产净' at (1024,1024)
Found: '优质服务' at (1536,1024)
Found: '8-4359' at (1536,1024)
Found: '别拆/5元' at (1536,1024)
Found: 'adxs' at (1536,1024)
Found: '股票代码002511' at (1536,1024)
Found: '中顺洁柔' at (1536,1024)
Found: 'STO' at (1536,1024)
Found: '申迎快递' at (1536,1024)
Found: '6' at (1536,1024)
Found: 'T可' at (1536,1024)
Found: '500S07F88' at (1536,1024)
Found: '8-1-' at (1536,1024)
Found: '7530' at (1536,1024)
Found: '汉东居委会龙保路169号' at (1536,1024)
Found: '济南中转包' at (1536,1024)
Found: '770325886317530' at (1536,1024)
Found: '高快通，财线量乌储站' at (1536,1024)
Found: '四中南世纪' at (1536,1024)
Found: '25FBLLJ19' at (1536,1024)
Found: '0001号' at (1536,1024)
Found: '卫装打码【检验合格】' at (1536,1024)
Found: '扫码可直指下单' at (1536,1024)
Found: 'mm×138mm/张' at (1536,1024)
Found: '山东省黄市东社区' at (1536,1024)
Found: 'ATho' at (1536,1024)
Found: '温中南' at (1536,1024)
Found: '06/15' at (1536,1024)
Found: '15979' at (1536,1024)
Found: '福' at (1536,1024)
Found: '8-1-' at (1536,1024)
Found: '6' at (1536,1024)
Found: '干燥' at (1536,1024)
Found: '高快递' at (1536,1024)
Found: '扫码可' at (1536,1024)
Found: '中顺洁柔创始人' at (1536,1024)
Found: '原标标等日' at (1536,1024)
Found: '产主卫执质生保储产净' at (1536,1024)
Found: '4293' at (2048,1024)
Found: '6' at (2048,1024)
Found: '高快递，就宝是乌键站' at (2048,1024)
Found: 'OS07F88' at (2048,1024)
Found: '扫码可直接下单！' at (2048,1024)
Found: '886317530' at (2048,1024)
Found: '转包' at (2048,1024)
Found: '25FBLLJ19' at (2048,1024)
Found: '世纪' at (2048,1024)
Found: '06/15' at (2048,1024)
Found: '8-1-' at (2048,1024)
Found: '6375' at (2048,1024)
Found: '高快递，就发监鸟绿站' at (2048,1024)
Found: '扫码可直接下单！' at (2048,1024)
Found: 'STAO' at (2560,1024)
Found: '8-1-' at (2560,1024)
Found: '0895' at (2560,1024)
Found: '4293' at (2560,1024)
Found: '高快递，就性菌乌碍站' at (2560,1024)
Found: '高快递，就宝是乌键站' at (2560,1024)
Found: '扫码可直接下单！' at (2560,1024)
Found: '扫码可直接下单！' at (2560,1024)
Found: '375' at (2560,1024)
Found: '，就控监鸟绿站' at (2560,1024)
Found: '直接下单！' at (2560,1024)
Found: '06' at (3072,1024)
Found: 'STAO' at (3072,1024)
Found: '8-1-' at (3072,1024)
Found: '0895' at (3072,1024)
Found: '高快递，就性菌乌碍站' at (3072,1024)
Found: '扫码可直接下单！' at (3072,1024)
Found: '8-1-492' at (0,1536)
Found: '别拆／5元起' at (0,1536)
Found: 'S' at (0,1536)
Found: '自生产之日起，贮存保质期为2年' at (0,1536)
Found: '环保健康·净享美味' at (0,1536)
Found: '48.5cmx18.5cmx26cm' at (0,1536)
Found: '豫XK16-205-00155' at (0,1536)
Found: 'GB/T27591-2025' at (0,1536)
Found: '一次性餐饮具' at (0,1536)
Found: '9672' at (0,1536)
Found: '生产许可证' at (0,1536)
Found: '执行标准' at (0,1536)
Found: '箱尺寸' at (0,1536)
Found: '8-1-492' at (512,1536)
Found: '别拆／5元起' at (512,1536)
Found: 'E' at (512,1536)
Found: 'S' at (512,1536)
Found: 'PR335' at (512,1536)
Found: '2#中号箱*260CM' at (512,1536)
Found: '自生产之日起，贮存保质期为2年' at (512,1536)
Found: '环保健康·净享美味' at (512,1536)
Found: '48.5cmx18.5cmx26cm' at (512,1536)
Found: '康存实业有限公司' at (512,1536)
Found: '04月04日' at (512,1536)
Found: 'emi' at (512,1536)
Found: '豫XK16-205-00155' at (512,1536)
Found: 'GB/T27591-2025' at (512,1536)
Found: '3226' at (512,1536)
Found: '8-1' at (512,1536)
Found: '979'' at (512,1536)
Found: '一次性餐饮具' at (512,1536)
Found: '9672' at (512,1536)
Found: '旧衣旧鞋换钱' at (512,1536)
Found: '扫码上门称量回收' at (512,1536)
Found: '旧衣旧鞋换线' at (512,1536)
Found: '产品名称：洁柔牌纸面巾' at (512,1536)
Found: '优' at (512,1536)
Found: '生产许可证' at (512,1536)
Found: '执行标准' at (512,1536)
Found: '外箱尺寸' at (512,1536)
Found: '务热线' at (512,1536)
Found: '自' at (512,1536)
Found: '质' at (512,1536)
Found: '托' at (512,1536)
Found: 'PR335-24E' at (1024,1536)
Found: '股票代码002511' at (1024,1536)
Found: '中顺洁柔' at (1024,1536)
Found: 'STO' at (1024,1536)
Found: '2#中号箱*260CM' at (1024,1536)
Found: '50' at (1024,1536)
Found: '实业有限公司' at (1024,1536)
Found: 'emi' at (1024,1536)
Found: '8-1-' at (1024,1536)
Found: '7530' at (1024,1536)
Found: '04月24日' at (1024,1536)
Found: '济南中' at (1024,1536)
Found: '770325' at (1024,1536)
Found: '3226' at (1024,1536)
Found: '高快通，财线量乌储站' at (1024,1536)
Found: '0001号' at (1024,1536)
Found: '四中南世' at (1024,1536)
Found: '979"' at (1024,1536)
Found: '8-1' at (1024,1536)
Found: '卫装打码【检验合格】' at (1024,1536)
Found: '扫码可指下单' at (1024,1536)
Found: '旧衣旧鞋换钱' at (1024,1536)
Found: '扫码上门称量回收' at (1024,1536)
Found: '0mm×138mm/张' at (1024,1536)
Found: '山东省志共' at (1024,1536)
Found: 'B/T20808' at (1024,1536)
Found: '代国：' at (1024,1536)
Found: '道中南' at (1024,1536)
Found: '15979' at (1024,1536)
Found: '产品名称：洁柔牌纸面巾' at (1024,1536)
Found: 'PR335-24E' at (1024,1536)
Found: '型：白茶花香' at (1024,1536)
Found: '干燥' at (1024,1536)
Found: '务热线' at (1024,1536)
Found: '名编' at (1024,1536)
Found: '代' at (1024,1536)
Found: '原标标等日' at (1024,1536)
Found: '开' at (1024,1536)
Found: '条' at (1024,1536)
Found: '香产主卫执质生保储产净' at (1024,1536)
Found: '股票代码002511' at (1536,1536)
Found: '中顺洁柔' at (1536,1536)
Found: 'STO' at (1536,1536)
Found: '申迎快递' at (1536,1536)
Found: '6' at (1536,1536)
Found: '500 S07 F88' at (1536,1536)
Found: '回' at (1536,1536)
Found: 'ATAO' at (1536,1536)
Found: '06/14' at (1536,1536)
Found: '7530' at (1536,1536)
Found: '8-1-' at (1536,1536)
Found: '济南中转包' at (1536,1536)
Found: '770325886317530' at (1536,1536)
Found: '高快通，财线量乌储站' at (1536,1536)
Found: '0001号' at (1536,1536)
